accession,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute7_link,attribute8
1,ACHD,Any request that looks vaguely reasonable (inpatient),Inpatient - Priority,-,-,-,(BHI local policy - reference required),-,-
2,ACHD,Any request that looks vaguely reasonable (outpatient),Outpatient,(as requested),-,-,(BHI local policy - reference required),-,-
3,ACHD,Any request that looks vaguely reasonable (upcoming cardiac surgery),Specific slots,ACHD DOSA (Tues Thurs),-,-,(BHI local policy - reference required),-,-
4,Aortic Regurgitation,Mild AR - Normal valve,Not Indicated,-,-,-,2024 BSE Poster - Valve Disease,-,-
5,Aortic Regurgitation,Mild AR - BAV,Outpatient,3 years,1,1,2024 BSE Poster - Valve Disease,-,-
6,Aortic Regurgitation,Mod AR - asymptomatic any valve morphology,Outpatient,12-24 months,1,1,2024 BSE Poster - Valve Disease,-,-
7,Aortic Regurgitation,Sev AR - asymptomatic any valve morphology,Outpatient,6-12 months,1,1,2024 BSE Poster - Valve Disease,-,-
8,Aortic Regurgitation,Any AR - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
9,Aortic Regurgitation,Any AR - LV dilatation and/or reducing EF,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
10,Aortic Stenosis,Mild AS - Trileaflet AV,CDC,3 years,8,1,2024 BSE Poster - Valve Disease,-,-
11,Aortic Stenosis,Mild AS - BAV,Outpatient,2 years,1,1,2024 BSE Poster - Valve Disease,-,-
12,Aortic Stenosis,Mod AS - asymptomatic any valve morphology,Outpatient,12-24 months,1,1,2024 BSE Poster - Valve Disease,-,-
13,Aortic Stenosis,Sev AS - asymptomatic any valve morphology,Outpatient,6 months,1,1,2024 BSE Poster - Valve Disease,-,-
14,Aortic Stenosis,Any AS - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
15,Aortic Stenosis,Any AS - New LVSD (EF<55%) without other cause or reducing EF on sequential scans,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
16,Aortic Stenosis,Any AS - Sclerotic aortic valve only no stenosis (trileaflet morphology),Not Indicated,-,-,-,(BHI local policy - reference required),-,-
17,Aortic Valve Replacement,TAVI - post-procedure - baseline (pre-discharge),Inpatient - Priority,-,-,-,2024 BSE Poster - Valve Disease,-,-
18,Aortic Valve Replacement,TAVI - post-procedure - first follow-up (post-discharge),Outpatient,6-8 weeks,-,-,2024 BSE Poster - Valve Disease,-,-
19,Aortic Valve Replacement,TAVI - routine surveillance (depending on stability of parameters),CDC,12-24 months,8,1,2024 BSE Poster - Valve Disease,-,-
20,Aortic Valve Replacement,Tissue AVR - post-op baseline (post-discharge),Outpatient,6-8 weeks,1,1,2024 BSE Poster - Valve Disease,-,-
21,Aortic Valve Replacement,Tissue AVR - new/unproven valve type,Outpatient,12 months,1,1,2024 BSE Poster - Valve Disease,-,-
22,Aortic Valve Replacement,Tissue AVR - proven valve type Age >60yrs,CDC,12 months (after 10 years),8,1,2024 BSE Poster - Valve Disease,-,-
23,Aortic Valve Replacement,Tissue AVR - proven valve type Age <60yrs,CDC,12 months (after 5 years),8,1,2024 BSE Poster - Valve Disease,-,-
24,Aortic Valve Replacement,Mechanical AVR - post-op baseline (post-discharge),Outpatient,6-8 weeks,1,1,2024 BSE Poster - Valve Disease,-,-
25,Aortic Valve Replacement,Mechanical AVR - surveillance (not routinely required),Not Indicated,-,-,-,2024 BSE Poster - Valve Disease,-,-
26,Aortic Valve Replacement,Any AVR/TAVI - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
27,Aortic Valve Replacement,Any AVR/TAVI - LV dilatation and/or reducing EF,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
28,Aortic Valve Replacement,Any AVR/TAVI - New LVSD (EF<55%) without other cause or reducing EF on sequential scans,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
29,Aortopathy,Screening suspected or proven genetic condition linked to aortopathy (Marfan Loeys-Dietz Ehlers Danlos etc),CDC,Routine,8,1,2024 BSE Poster - Outpatient Triage,-,-
30,Aortopathy,Aorta 40-44mm growth <3mm/year (no heritable aortopathy),CDC,2-3 years,8,1,2024 ESC Aorta Guidelines,-,-
31,Aortopathy,Aorta 40-44mm growth >3mm/year (no heritable aortopathy),CDC,12 months,8,1,2024 ESC Aorta Guidelines,-,-
32,Aortopathy,Aorta 45-49mm growth <3mm/year (no heritable aortopathy),CDC,12 months,8,1,2024 ESC Aorta Guidelines,-,-
33,Aortopathy,Aorta 45-49mm growth >3mm/year (no heritable aortopathy),CDC,6 months,8,1,2024 ESC Aorta Guidelines,-,-
34,Aortopathy,Aorta 50-55mm (no heritable aortopathy),Escalate,6 months,1,1,2024 ESC Aorta Guidelines,-,-
35,Aortopathy,Aorta 55mm or more (no heritable aortopathy),Escalate,Surgical Review,-,-,2024 ESC Aorta Guidelines,-,-
36,Aortopathy,Marfan: Aorta <45mm no additional risk factors,CDC,12 months,8,1,2024 ESC Aorta Guidelines,-,-
37,Aortopathy,Marfan: Aorta <45mm with additional risk factors,CDC,6 months,8,1,2024 ESC Aorta Guidelines,-,-
38,Aortopathy,Marfan: Aorta 45mm or more no additional risk factors,Outpatient,6-12 months,1,1,2024 ESC Aorta Guidelines,-,-
39,Aortopathy,Marfan: Aorta 45mm or more with additional risk factors,Escalate,Surgical Review,-,-,2024 ESC Aorta Guidelines,-,-
40,Aortopathy,Marfan: Aorta 50mm or more no additional risk factors,Escalate,Surgical Review,-,-,2024 ESC Aorta Guidelines,-,-
41,Aortopathy,Loeys-Dietz: regardless of aorta size,Outpatient,6-12 months,1,1,2024 ESC Aorta Guidelines,-,-
47,Arrhythmia,VT or VF - no previous echo (inc. calculation of sudden cardiac death risk post-MI),Inpatient - Priority,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
